system:time_start,EVI
"May 9, 1999",
"Jun 10, 1999",0.675
"Jul 12, 1999",0.607
"Aug 13, 1999",0.5
"Sep 14, 1999",0.545
"Oct 16, 1999",0.277
"Nov 17, 1999",0.195
"Dec 19, 1999",0.098
"Jan 1, 2000",0.162
"Feb 2, 2000",0.198
"Mar 5, 2000",0.186
"Apr 6, 2000",0.298
"May 8, 2000",0.799
"Jun 9, 2000",0.737
"Jul 11, 2000",0.965
"Aug 12, 2000",0.445
"Sep 13, 2000",0.431
"Oct 15, 2000",0.309
"Nov 16, 2000",0.234
"Dec 18, 2000",0.136
"Jan 1, 2001",0.112
"Feb 2, 2001",0.188
"Mar 6, 2001",0.142
"Apr 7, 2001",0.203
"May 9, 2001",0.66
"Jun 10, 2001",0.507
"Jul 12, 2001",0.254
"Aug 13, 2001",0.584
"Sep 14, 2001",0.617
"Oct 16, 2001",0.249
"Nov 17, 2001",0.075
"Dec 19, 2001",0.157
"Jan 1, 2002",0.12
"Feb 2, 2002",0.079
"Mar 6, 2002",0.17
"Apr 7, 2002",0.593
"May 9, 2002",0.272
"Jun 10, 2002",0.726
"Jul 12, 2002",0.667
"Aug 13, 2002",0.534
"Sep 14, 2002",0.408
"Oct 16, 2002",0.18
"Nov 17, 2002",0.05
"Dec 19, 2002",0.127
